118.119851 , 24.691512 | 118.10834081 , 24.6884260401
118.198622 , 24.792928 | 118.187400445 , 24.789361864
118.160915 , 24.737356 | 118.14948784 , 24.7341516615
118.039958 , 24.570717 | 118.028523418 , 24.5675371117
118.143602 , 24.534176 | 118.132105411 , 24.5311804459
118.007125 , 24.494486 | 117.995702286 , 24.4916186023
118.056262 , 24.577319 | 118.044857762 , 24.5738155596
118.123909 , 24.509919 | 118.112376303 , 24.5068739203
118.159585 , 24.51555 | 118.148161044 , 24.512357325
118.124043 , 24.541929 | 118.11251905 , 24.5388877961
118.050491 , 24.578477 | 118.039077088 , 24.5750794839
118.11432 , 24.601531 | 118.102807854 , 24.5983556935
118.17939 , 24.729622 | 118.168086508 , 24.7261395458
118.221488 , 24.603614 | 118.210258103 , 24.6003672853
118.245009 , 24.630686 | 118.233701738 , 24.62782517
118.162239 , 24.521499 | 118.1508362 , 24.5182703408
118.084757 , 24.479273 | 118.073344937 , 24.475613145
118.2882 , 24.759238 | 118.276944268 , 24.755986896
118.164175 , 24.739948 | 118.152771205 , 24.7366871946
118.195275 , 24.537578 | 118.184046717 , 24.5340067424
118.05121 , 24.560365 | 118.039795806 , 24.556957089
118.16931 , 24.531482 | 118.157959732 , 24.528135305
118.134496 , 24.508124 | 118.122970232 , 24.505141227
118.339052 , 24.655089 | 118.327747362 , 24.6516992671
118.151011 , 24.488157 | 118.139558857 , 24.4850874362
118.143397 , 24.670006 | 118.131912284 , 24.6670263667
118.066482 , 24.586364 | 118.055088282 , 24.5827254577
118.125328 , 24.51314 | 118.113795525 , 24.5101027999
118.291901 , 24.777025 | 118.280671677 , 24.7737067725
118.139369 , 24.503055 | 118.12785856 , 24.5000724666
118.098358 , 24.483455 | 118.086907227 , 24.4799786376
118.095565 , 24.462876 | 118.084133456 , 24.4593474154
117.994358 , 24.600308 | 117.983014866 , 24.5973239942
118.161416 , 24.742316 | 118.149990788 , 24.7391029163
118.169039 , 24.728431 | 118.157681332 , 24.7250910953
118.123414 , 24.440321 | 118.111916276 , 24.4372611964
118.172443 , 24.748182 | 118.161088106 , 24.7447857732
118.163985 , 24.74097 | 118.152578649 , 24.7377170392
118.028765 , 24.563949 | 118.017315194 , 24.5609743795
118.133936 , 24.499667 | 118.122415691 , 24.4966867544
118.155803 , 24.735219 | 118.144348947 , 24.7320971374
118.129302 , 24.69029 | 118.117795959 , 24.6873056419
118.169173 , 24.669866 | 118.157831394 , 24.6665307406
118.092348 , 24.604375 | 118.080902695 , 24.6008076574
118.10037 , 24.440718 | 118.088924178 , 24.4372719925
118.090928 , 24.457635 | 118.079518244 , 24.4540404432
118.156219 , 24.520272 | 118.144776892 , 24.5171372408
118.148828 , 24.491216 | 118.137363691 , 24.4881759584
118.120487 , 24.476206 | 118.108983043 , 24.4731187979
118.053015 , 24.569629 | 118.041601524 , 24.5661899048
118.132245 , 24.507557 | 118.120716053 , 24.5045732202
118.122413 , 24.481249 | 118.110898603 , 24.4781796213
118.066445 , 24.599732 | 118.055038576 , 24.5960869036
118.255124 , 24.640199 | 118.243815996 , 24.6373878763
118.253977 , 24.655409 | 118.24267677 , 24.6526012282
118.252503 , 24.618972 | 118.241192268 , 24.6161589046
118.044733 , 24.458786 | 118.03331076 , 24.4554941419
118.227615 , 24.728746 | 118.216350234 , 24.7256187571
118.042384 , 24.589362 | 118.030948518 , 24.5861344146
118.27734 , 24.670767 | 118.26609234 , 24.6677372391
118.203185 , 24.667381 | 118.191969746 , 24.6638560081
118.254689 , 24.674 | 118.243401301 , 24.6711985523
118.022702 , 24.530927 | 118.011230377 , 24.5280210819
118.140012 , 24.497935 | 118.128505107 , 24.4949485332
118.102928 , 24.571584 | 118.091476983 , 24.5681999309
118.037301 , 24.64576 | 118.025826377 , 24.6426317635
118.139062 , 24.505596 | 118.12754756 , 24.5026142184
118.120649 , 24.495325 | 118.109124446 , 24.4922353023
118.024842 , 24.591954 | 118.013384849 , 24.5890289048
118.036558 , 24.488665 | 118.025103686 , 24.4855422375
118.079788 , 24.461726 | 118.068395089 , 24.4580273257
118.098176 , 24.48387 | 118.086722482 , 24.4803874103
118.10677 , 24.584117 | 118.095299193 , 24.5808068442
118.037103 , 24.583033 | 118.025665721 , 24.5799089829
118.136796 , 24.505784 | 118.125273852 , 24.5028060123
118.121464 , 24.549933 | 118.109950692 , 24.5468650735
118.143827 , 24.719298 | 118.132333101 , 24.7163048514
118.14553 , 24.783194 | 118.134034277 , 24.7801828766
118.115838 , 24.473361 | 118.104349117 , 24.4702035439
118.042837 , 24.602085 | 118.031387222 , 24.5988438242
118.158767 , 24.712958 | 118.147361099 , 24.7097956588
118.132232 , 24.507642 | 118.120702787 , 24.504661258
118.185687 , 24.474965 | 118.174448781 , 24.4714113687
118.115459 , 24.530843 | 118.103938744 , 24.5276781207
118.124154 , 24.483462 | 118.112636734 , 24.480412402
118.06653 , 24.5998 | 118.055122661 , 24.5961560108
118.176818 , 24.663571 | 118.165517477 , 24.6601174938
118.119007 , 24.519985 | 118.107476441 , 24.5168754679
118.080314 , 24.460493 | 118.06892519 , 24.4568031066
118.277068 , 24.670707 | 118.265816701 , 24.6676814706
118.201842 , 24.49609 | 118.190624613 , 24.4925433324
118.046076 , 24.635709 | 118.034606643 , 24.6324017103
118.146556 , 24.651313 | 118.135067025 , 24.6483028243
118.18189 , 24.500817 | 118.170604771 , 24.4972912937
118.115087 , 24.591617 | 118.10359093 , 24.5884538138
118.122298 , 24.476656 | 118.110795039 , 24.4735849281
118.045689 , 24.533314 | 118.034241027 , 24.530007028
118.194991 , 24.537281 | 118.183763798 , 24.5337048582
118.162363 , 24.774418 | 118.150950174 , 24.771187964
118.115039 , 24.520264 | 118.103517733 , 24.5170884027
118.193635 , 24.488373 | 118.182411985 , 24.4847932923
118.138814 , 24.694319 | 118.127323499 , 24.6913561206
118.246287 , 24.586605 | 118.235016853 , 24.5837566812
118.158439 , 24.720481 | 118.147021587 , 24.7173157081
118.112583 , 24.472613 | 118.101095729 , 24.469393552
118.095711 , 24.474706 | 118.084275824 , 24.4711854866
118.044273 , 24.468907 | 118.032845576 , 24.465631236
118.070865 , 24.577285 | 118.059475999 , 24.5736073108
118.282482 , 24.77665 | 118.271222366 , 24.7735138226
118.15279 , 24.519705 | 118.141331426 , 24.5166137667
118.25035 , 24.745095 | 118.239035913 , 24.7422731374
118.096095 , 24.474505 | 118.084657761 , 24.4709824654
118.11152 , 24.532184 | 118.100013832 , 24.5289552061
118.04359 , 24.50321 | 118.032130921 , 24.4999473109
118.112505 , 24.479019 | 118.10101282 , 24.4758007503
118.028334 , 24.643626 | 118.016847868 , 24.6406495313
118.022557 , 24.870482 | 118.011053272 , 24.8675582817
117.915849 , 24.526267 | 117.904631674 , 24.5234493513
118.130257 , 24.490012 | 118.118732861 , 24.4870214682
